Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,335.350006,338,329.779999,334.75,328.727631,28865100
2022-01-04,334.829987,335.200012,326.119995,329.01001,323.090942,32674300
2022-01-05,325.859985,326.070007,315.980011,316.380005,310.688171,40054300
2022-01-06,313.149994,318.700012,311.48999,313.880005,308.233154,39646100
2022-01-07,314.149994,316.5,310.089996,314.040009,308.390228,32720000
2022-01-10,309.48999,314.720001,304.690002,314.269989,308.616058,44289500
2022-01-11,313.380005,316.609985,309.890015,314.980011,309.313324,29386800
2022-01-12,319.670013,323.410004,317.079987,318.269989,312.544159,34372200
2022-01-13,320.470001,320.880005,304,304.799988,299.316467,45366000
2022-01-14,304.25,310.820007,303.75,310.200012,304.619354,39846400
2022-01-18,304.070007,309.799988,301.73999,302.649994,297.205139,42333200
2022-01-19,306.290009,313.910004,302.700012,303.329987,297.872955,45933900
2022-01-20,309.070007,311.649994,301.140015,301.600006,296.174011,35380700
2022-01-21,302.690002,304.109985,295.609985,296.029999,290.704254,57984400
2022-01-24,292.200012,297.109985,276.049988,296.369995,291.038116,85731500
2022-01-25,291.519989,294.98999,285.170013,288.48999,283.299896,72848600
2022-01-26,307.98999,308.5,293.029999,296.709991,291.372009,90428900
2022-01-27,302.660004,307.299988,297.929993,299.839996,294.445709,53481300
2022-01-28,300.230011,308.480011,294.450012,308.26001,302.714233,49743700
2022-01-31,308.950012,312.380005,306.369995,310.980011,305.385284,46444500
2022-02-01,310.410004,310.630005,305.130005,308.76001,303.205261,40950400
2022-02-02,309.630005,315.119995,308.880005,313.459991,307.820648,36636000
2022-02-03,309.48999,311.230011,299.959991,301.25,295.830322,43730000
2022-02-04,300.209991,308.799988,299.970001,305.940002,300.435944,35096500
2022-02-07,306.170013,307.839996,299.899994,300.950012,295.535736,28533300
2022-02-08,301.25,305.559998,299.950012,304.559998,299.08078,32421200
2022-02-09,309.869995,311.929993,307.390015,311.209991,305.611145,31284700
2022-02-10,304.040009,309.119995,300.700012,302.380005,296.940002,45386200
2022-02-11,303.190002,304.290009,294.220001,295.040009,289.732086,39175600
2022-02-14,293.769989,296.76001,291.350006,295,289.69281,36359500
2022-02-15,300.01001,300.799988,297.019989,300.470001,295.064392,27058300
2022-02-16,298.369995,300.869995,293.679993,299.5,294.71994,29982100
2022-02-17,296.359985,296.799988,290,290.730011,286.089935,32461600
2022-02-18,293.049988,293.859985,286.309998,287.929993,283.334595,34264000
2022-02-22,285,291.540009,284.5,287.720001,283.127991,41736100
2022-02-23,290.179993,291.700012,280.100006,280.269989,275.796875,37811200
2022-02-24,272.51001,295.160004,271.519989,294.589996,289.888306,56989700
2022-02-25,295.140015,297.630005,291.649994,297.309998,292.564911,32546700
2022-02-28,294.309998,299.140015,293,298.790009,294.021301,34627500
2022-03-01,296.399994,299.970001,292.149994,294.950012,290.242615,31217800
2022-03-02,295.359985,301.470001,293.700012,300.190002,295.398987,31873000
2022-03-03,302.890015,303.130005,294.049988,295.920013,291.197144,27314500
2022-03-04,294.290009,295.660004,287.170013,289.859985,285.233795,32356500
